file,scene,feature,n_windows,sync_strength,ctrl_strength,s_sync_real,s_sync_rand_mean,s_sync_rand_std,p_value,test,significant,pos_sync_ratio,neg_sync_ratio,human_follow_ratio,ai_follow_ratio,simultaneous_ratio,mean_abs_lag
arguing_S29,arguing,pitch_mean,5,0.7703998410279288,0.7359735879146114,0.193690061780201,0.1666703198128166,0.070875757159884,0.4717331831649257,MW,False,0.8,0.2,0.8,0.2,0.0,3.6
arguing_S29,arguing,pitch_max,5,0.8175533425665156,0.7684942694627778,0.1510724782845421,0.1838018147036872,0.1107359854261595,0.4528193194037115,t,False,0.6,0.4,0.8,0.2,0.0,4.4
arguing_S29,arguing,pitch_min,5,0.7806077286333516,0.7649852682703581,0.1689073499147699,0.2170813664968044,0.1495552068199271,0.415721574434116,MW,False,0.6,0.4,0.6,0.4,0.0,3.8
arguing_S29,arguing,pitch_std,5,0.5578111838521279,0.7590252161499101,0.2040377277158354,0.2308758813936508,0.1295857303879407,0.0089988461148869,t,True,0.6,0.4,0.8,0.2,0.0,2.4
arguing_S29,arguing,intensity_mean,6,0.7668817068707147,0.7466290230359817,0.1495399343630697,0.1818581464799793,0.1023848124509105,0.7965113283524026,t,False,0.5,0.5,0.5,0.5,0.0,4.166666666666667
arguing_S29,arguing,intensity_max,6,0.779948673352226,0.7406532782806872,0.185726787829662,0.1964807252076922,0.1373867089761621,0.3043613358261692,MW,False,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.0,3.8333333333333335
arguing_S29,arguing,intensity_min,6,0.8111737948171392,0.770346800441198,0.2348818840635816,0.217487701073181,0.1685746960501778,0.507991448213988,t,False,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,3.0
arguing_S29,arguing,intensity_std,6,0.8167850710800585,0.7367606191227941,0.2152684895139694,0.1945968077200548,0.1413601140387396,0.1150489929798724,t,False,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,3.333333333333333
arguing_S29,arguing,speech_rate,6,0.753755345581148,0.7589240231929971,0.1588246698028845,0.1820445579273269,0.086352188756064,0.6237883062645093,MW,False,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.1666666666666666,0.0,3.8333333333333335
arguing_S29,arguing,mfcc_centroid_dist,5,0.7417319611071564,0.7341985557629931,0.2108392000935409,0.1976543271871593,0.1397913106886426,0.9120019701182646,t,False,0.6,0.4,0.8,0.2,0.0,3.0
arguing_S29,arguing,embedding_cosine_dist,5,0.8337577419305611,0.7959569719190074,0.2447861604117674,0.2196801540681052,0.1612080490674597,0.6188883872991091,t,False,0.6,0.4,0.8,0.2,0.0,3.0
arguing_S30,arguing,pitch_mean,7,0.6443627648379969,0.7429024475056873,0.1751198705150769,0.2155243887430135,0.1554418334419492,0.9697131514439108,MW,False,0.8571428571428571,0.1428571428571428,0.7142857142857143,0.2857142857142857,0.0,3.142857142857143
arguing_S30,arguing,pitch_max,6,0.7914258824403692,0.7738222935733994,0.2939058226737576,0.2139132598040528,0.1263695761447108,0.720102694661061,t,False,0.5,0.5,0.1666666666666666,0.6666666666666666,0.1666666666666666,2.333333333333333
